bll; seq; 005A 0300; LATIN CAPITAL LETTER Z WITH COMBINING GRAVE ACCENT; Z̀; 005A; Z; icao-ext; mapped
bll; seq; 005A 0304; LATIN CAPITAL LETTER Z WITH COMBINING MACRON; Z̄; 005A; Z; icao-ext; mapped
bll; seq; 005A 0306; LATIN CAPITAL LETTER Z WITH COMBINING BREVE; Z̆; 005A; Z; icao-ext; mapped
bll; seq; 005A 0308; LATIN CAPITAL LETTER Z WITH COMBINING DIAERESIS; Z̈; 005A; Z; icao-ext; mapped
bll; seq; 005A 0327; LATIN CAPITAL LETTER Z WITH COMBINING CEDILLA; Z̧; 005A; Z; icao-ext; mapped
bll; char; 0061; LATIN SMALL LETTER A; a; 0041; A; icao-ext; mapped
bll; seq; 0061 030B; LATIN SMALL LETTER A WITH COMBINING DOUBLE ACUTE ACCENT; a̋; 0041; A; icao-ext; mapped
bll; char; 0062; LATIN SMALL LETTER B; b; 0042; B; icao-ext; mapped
bll; char; 0063; LATIN SMALL LETTER C; c; 0043; C; icao-ext; mapped
bll; seq; 0063 0300; LATIN SMALL LETTER C WITH COMBINING GRAVE ACCENT; c̀; 0043; C; icao-ext; mapped
bll; seq; 0063 0304; LATIN SMALL LETTER C WITH COMBINING MACRON; c̄; 0043; C; icao-ext; mapped
bll; seq; 0063 0306; LATIN SMALL LETTER C WITH COMBINING BREVE; c̆; 0043; C; icao-ext; mapped
bll; seq; 0063 0308; LATIN SMALL LETTER C WITH COMBINING DIAERESIS; c̈; 0043; C; icao-ext; mapped
bll; seq; 0063 0315; LATIN SMALL LETTER C WITH COMBINING COMMA ABOVE RIGHT; c̕; 0043; C; icao-ext; mapped
bll; seq; 0063 0323; LATIN SMALL LETTER C WITH COMBINING DOT BELOW; c̣; 0043; C; icao-ext; mapped
bll; seq; 0063 0326; LATIN SMALL LETTER C WITH COMBINING COMMA BELOW; c̦; 0043; C; icao-ext; mapped
bll; seq; 0063 0328 0306; LATIN SMALL LETTER C WITH COMBINING OGONEK AND COMBINING BREVE; c̨̆; 0043; C; icao-ext; mapped
bll; char; 0064; LATIN SMALL LETTER D; d; 0044; D; icao-ext; mapped
bll; seq; 0064 0302; LATIN SMALL LETTER D WITH COMBINING CIRCUMFLEX ACCENT; d̂; 0044; D; icao-ext; mapped
bll; char; 0065; LATIN SMALL LETTER E; e; 0045; E; icao-ext; mapped
bll; char; 0066; LATIN SMALL LETTER F; f; 0046; F; icao-ext; mapped
bll; seq; 0066 0300; LATIN SMALL LETTER F WITH COMBINING GRAVE ACCENT; f̀; 0046; F; icao-ext; mapped
